work_period,mean_value,peak_value,period_start_time,period_end_time,interval_id,mean_value_z,peak_value_z
11,3.586540921052632,8.03973875,2022-10-17 12:35:51.838000+00:00,2022-10-17 12:36:25.716000+00:00,2,0.9793742651913406,0.7415606012570698
12,3.7645833088235294,7.63445375,2022-10-17 12:36:48.315000+00:00,2022-10-17 12:37:23.086000+00:00,2,1.5651875429739117,0.4091886214142814
13,2.90820578125,6.26183375,2022-10-17 12:38:03.164000+00:00,2022-10-17 12:38:32.099000+00:00,2,-1.2525534047195916,-0.7164894248292456
14,3.188224078947368,6.18547375,2022-10-17 12:44:50.740000+00:00,2022-10-17 12:45:25.360000+00:00,2,-0.3312085560744854,-0.779111837158336
15,3.479666875,6.995066250000002,2022-10-17 12:45:46.216000+00:00,2022-10-17 12:46:19.107000+00:00,2,0.6277263457726174,-0.11516951979925993
16,3.4793269852941178,7.026185000000001,2022-10-17 12:46:37.915000+00:00,2022-10-17 12:47:08.489000+00:00,2,0.6266080058919841,-0.08964920558153043
17,3.557462734375,7.896621250000001,2022-10-17 12:59:11.204000+00:00,2022-10-17 12:59:44.209000+00:00,2,0.8836982407183566,0.6241907335709973
18,3.405709513888889,7.643535000000002,2022-10-17 13:00:01.299000+00:00,2022-10-17 13:00:37.431000+00:00,2,0.384384270488841,0.41663610415346014
19,3.850999144736842,7.66581,2022-10-17 13:00:50.747000+00:00,2022-10-17 13:01:25.245000+00:00,2,1.8495217665400436,0.43490370806428186
20,3.677701607142857,8.3599175,2022-10-17 13:01:58.948000+00:00,2022-10-17 13:08:11.543000+00:00,2,1.2793204802024614,1.0041374176728985
31,3.8762665277777777,8.816535,2022-10-17 13:20:15.677000+00:00,2022-10-17 13:20:48.502000+00:00,4,1.9326590950465863,1.3786068959557476
32,3.698615069444445,10.29944125,2022-10-17 13:21:07.025000+00:00,2022-10-17 13:21:39.473000+00:00,4,1.3481320932911394,2.5947300839191425
33,3.0503780263157894,5.966011249999999,2022-10-17 13:22:15.112000+00:00,2022-10-17 13:22:49.949000+00:00,4,-0.7847637399411752,-0.959091815756725
34,2.845050147058824,5.3445275,2022-10-17 13:24:08.166000+00:00,2022-10-17 13:24:42.112000+00:00,4,-1.4603545330867174,-1.4687671909312818
35,3.4592165625,8.935685000000003,2022-10-17 13:25:06.678000+00:00,2022-10-17 13:25:39.128000+00:00,4,0.5604386355408347,1.4763211498715578
36,3.550911015625,8.354528750000002,2022-10-17 13:25:58.066000+00:00,2022-10-17 13:26:30.417000+00:00,4,0.8621411054535466,0.999718133696494
37,3.7777828947368417,10.432156249999998,2022-10-17 13:26:45.544000+00:00,2022-10-17 13:27:19.879000+00:00,4,1.608618170848888,2.7035689190717767
38,3.429946710526316,7.341172500000001,2022-10-17 13:44:06.902000+00:00,2022-10-17 13:44:41.024000+00:00,4,0.46413197430363284,0.16867029551209567
39,3.215913046875,6.670255,2022-10-17 13:45:45.322000+00:00,2022-10-17 13:46:18.421000+00:00,4,-0.24010348124828826,-0.38154542376242506
40,3.203951323529412,6.3739975,2022-10-17 13:46:35.314000+00:00,2022-10-17 13:47:09.395000+00:00,4,-0.27946116707097,-0.624504555776378
51,2.853607426470588,6.219627499999999,2022-10-17 13:56:36.935000+00:00,2022-10-17 13:57:07.611000+00:00,6,-1.43219849696594,-0.7511025362798054
52,3.411555625,9.406652500000002,2022-10-17 13:57:26.569000+00:00,2022-10-17 13:57:58.862000+00:00,6,0.4036197433172999,1.862558983535789
53,3.462931544117647,6.851605,2022-10-17 13:58:17.863000+00:00,2022-10-17 13:58:52.034000+00:00,6,0.5726620480977158,-0.23282129495309412
54,3.513401315789474,7.01947375,2022-10-17 13:59:09.069000+00:00,2022-10-17 13:59:43.363000+00:00,6,0.7387228538540159,-0.09515306447026316
55,3.2317275,7.26130125,2022-10-17 14:00:13.300000+00:00,2022-10-17 14:00:48.214000+00:00,6,-0.18806914977540196,0.10316832653959825
56,3.230078486842105,6.75721125,2022-10-17 14:01:04.742000+00:00,2022-10-17 14:01:39.190000+00:00,6,-0.19349490155972415,-0.3102330855998864
57,3.82708984375,8.145526249999998,2022-10-17 14:02:00.436000+00:00,2022-10-17 14:02:29.143000+00:00,6,1.7708529385381686,0.8283163430625112
58,3.621634078947368,8.02466375,2022-10-17 14:04:24.565000+00:00,2022-10-17 14:04:59.268000+00:00,6,1.094841363287725,0.72919767739823
59,3.1620347222222223,8.358363750000002,2022-10-17 14:05:27.120000+00:00,2022-10-17 14:05:59.587000+00:00,6,-0.4173794567137011,1.0028631959186272
