interval_id,n_points,scratch_mean_theta0,scratch_mean_theta1,scratch_peak_theta0,scratch_peak_theta1,sklearn_mean_theta0,sklearn_mean_theta1,sklearn_peak_theta0,sklearn_peak_theta1,scratch_mean_rmse,scratch_mean_mae,scratch_mean_r2,sklearn_mean_rmse,sklearn_mean_mae,sklearn_mean_r2,scratch_peak_rmse,scratch_peak_mae,scratch_peak_r2,sklearn_peak_rmse,sklearn_peak_mae,sklearn_peak_r2
1,10,0.1778398495648965,-0.1027881831679202,0.2581909768222368,-0.1541781377347817,0.1778398495648963,-0.1027881831679202,0.2581909768222362,-0.1541781377347817,0.8661128903085336,0.7239199024470837,0.10410002806468166,0.8661128903085336,0.7239199024470837,0.10410002806468166,0.6635258500453312,0.5423852212834751,0.3081665037004413,0.6635258500453312,0.5423852212834749,0.3081665037004413
2,10,-0.8404174505886411,0.0994976420066859,-0.9347661566476042,0.0731454917451849,-0.8404174505886413,0.0994976420066859,-0.9347661566476042,0.0731454917451849,0.8111921757844565,0.6196829747879712,0.1104130535998763,0.8111921757844565,0.6196829747879712,0.1104130535998763,0.5111571899057146,0.42535594494376794,0.14452057973075216,0.5111571899057146,0.42535594494376794,0.14452057973075216
3,10,0.8120685610149383,-0.0307922090965767,2.212510420766527,-0.0745607416126103,0.8120685610149372,-0.0307922090965766,2.212510420766528,-0.0745607416126104,0.7385821303546589,0.6376811122373607,0.014136915303567199,0.7385821303546589,0.6376811122373607,0.014136915303567199,0.8487666442831484,0.7158122985365144,0.05985398732861624,0.8487666442831484,0.7158122985365141,0.059853987328616354
4,10,3.709369677258554,-0.0920012692892431,5.002872161316823,-0.1245088963224272,3.7093696772585543,-0.0920012692892431,5.002872161316824,-0.1245088963224272,0.9929504126881807,0.7949056146606053,0.0661405757894955,0.9929504126881807,0.794905614660605,0.0661405757894955,1.2988826184680633,1.0425107815765506,0.07046608528112341,1.2988826184680635,1.0425107815765509,0.07046608528112319
5,10,-6.638421268842281,0.1430978771960332,-5.626308012699797,0.1138022388690396,-6.638421268842281,0.1430978771960332,-5.626308012699795,0.1138022388690395,0.7682870296766022,0.6836702736663993,0.22251741180772788,0.7682870296766022,0.6836702736663993,0.22251741180772788,0.6536918889253179,0.555040963237966,0.20002555429765412,0.6536918889253178,0.5550409632379658,0.20002555429765445
6,10,-7.841824768469322,0.1486608513520539,-6.25926636700433,0.1209325549605127,-7.841824768469324,0.1486608513520539,-6.2592663670043285,0.1209325549605127,0.78321566520135,0.7051412597649346,0.22912334583120753,0.78321566520135,0.7051412597649349,0.22912334583120753,0.6898707661577215,0.49175188841136563,0.2022437603242745,0.6898707661577215,0.49175188841136597,0.2022437603242747
7,10,-1.3282464429924254,0.0259529699257568,-3.0043433094983376,0.0503698970854888,-1.328246442992426,0.0259529699257568,-3.004343309498338,0.0503698970854888,0.6097807934429997,0.528810816991871,0.014724423859963198,0.6097807934429997,0.5288108169918708,0.014724423859963198,0.8094694650418324,0.7168044225749308,0.030955571254950853,0.8094694650418324,0.7168044225749306,0.030955571254950964
8,10,8.827535985391467,-0.1172931503398167,14.857793214955333,-0.1909811116934978,8.827535985391469,-0.1172931503398167,14.857793214955333,-0.1909811116934978,0.9134048226870406,0.6947722770675885,0.11975076737781931,0.9134048226870406,0.6947722770675885,0.11975076737781931,1.2174532666203421,0.9783700345578618,0.16875583356657975,1.2174532666203421,0.9783700345578618,0.16875583356657975
9,10,-2.426644197615537,0.0257840214366814,-0.5161368823872089,0.0032480423414626,-2.426644197615537,0.0257840214366814,-0.5161368823872095,0.0032480423414626,0.9472085100303488,0.7804601260128173,0.0060759928462053026,0.9472085100303488,0.7804601260128173,0.0060759928462053026,0.9225314532858876,0.7645576333619405,0.00010225640886618592,0.9225314532858876,0.7645576333619403,0.00010225640886618592
10,10,-12.771143502318395,0.1367615450461707,-11.533328778987846,0.1229856334561834,-12.771143502318395,0.1367615450461707,-11.533328778987846,0.1229856334561834,0.7122725451639137,0.560700161997217,0.23321774434501086,0.7122725451639137,0.560700161997217,0.23321774434501086,0.9932746583302564,0.8189861667807081,0.11227944990346994,0.9932746583302564,0.8189861667807081,0.11227944990346994
