interval_id,start_work_period,end_work_period,n_periods,scratch_mean_theta0,scratch_mean_theta1,scratch_peak_theta0,scratch_peak_theta1,sklearn_mean_theta0,sklearn_mean_theta1,sklearn_peak_theta0,sklearn_peak_theta1,learning_rate,iterations,target_space,scratch_mean_rmse,scratch_mean_mae,scratch_mean_r2,sklearn_mean_rmse,sklearn_mean_mae,sklearn_mean_r2,scratch_peak_rmse,scratch_peak_mae,scratch_peak_r2,sklearn_peak_rmse,sklearn_peak_mae,sklearn_peak_r2
2,11,20,10,-0.890498721649014,0.1001099753127459,-0.9759858298022148,0.0754197128824952,-0.8904987216490137,0.1001099753127459,-0.9759858298022148,0.0754197128824952,0.05,3000,z,0.8161844547654464,0.6234966583789396,0.11041305359987652,0.8161844547654464,0.6234966583789397,0.11041305359987641,0.527049960027781,0.43858100444903025,0.14452057973075216,0.527049960027781,0.43858100444903025,0.14452057973075216
4,31,40,10,3.687288931011386,-0.0925674680478208,5.146264037640345,-0.1283800954495871,3.6872889310113854,-0.0925674680478208,5.146264037640347,-0.1283800954495872,0.05,3000,z,0.9990612771940356,0.7997976620821717,0.06614057578949561,0.9990612771940358,0.7997976620821718,0.06614057578949528,1.3392671484688414,1.0749242632384801,0.07046608528112364,1.3392671484688417,1.0749242632384801,0.07046608528112341
6,51,60,10,-7.934994446486535,0.1495757473109348,-6.466034054603781,0.1246925593861888,-7.934994446486534,0.1495757473109347,-6.466034054603777,0.1246925593861887,0.05,3000,z,0.7880357697581848,0.7094808749570424,0.2291233458312062,0.7880357697581842,0.7094808749570426,0.2291233458312072,0.7113200536117451,0.5070413138052564,0.2022437603242745,0.7113200536117452,0.5070413138052563,0.20224376032427416
7,61,70,10,-1.3813299353485593,0.0261126909759868,-3.109909752276212,0.051935985191575,-1.3813299353485602,0.0261126909759868,-3.109909752276212,0.051935985191575,0.05,3000,z,0.6135335365401245,0.5320652506580192,0.01472442385996342,0.6135335365401247,0.5320652506580189,0.014724423859963198,0.8346372850056188,0.7390911244651348,0.030955571254950964,0.8346372850056188,0.7390911244651348,0.030955571254950964
8,71,80,10,8.836953711200684,-0.1180150016427946,15.30759180523994,-0.1969190481360261,8.836953711200685,-0.1180150016427947,15.307591805239944,-0.1969190481360261,0.05,3000,z,0.9190261437914088,0.6990480789538982,0.11975076737781909,0.9190261437914086,0.6990480789538981,0.1197507673778192,1.255306015799758,1.0087892683290127,0.16875583356657986,1.255306015799758,1.0087892683290127,0.16875583356657986
9,81,90,10,-2.4864875037209453,0.0259427027357697,-0.5443406399808646,0.0033490296528005,-2.4864875037209457,0.0259427027357697,-0.5443406399808634,0.0033490296528005,0.05,3000,z,0.9530378674580958,0.7852632722941861,0.0060759928462053026,0.9530378674580958,0.785263272294186,0.0060759928462053026,0.9512145680047729,0.7883290660093699,0.00010225640886629694,0.9512145680047729,0.7883290660093702,0.00010225640886629694
10,91,100,10,-13.403612631638968,0.1430369804639562,-11.904076281756376,0.1268094716794047,-13.403612631638971,0.1430369804639562,-11.904076281756376,0.1268094716794047,0.05,3000,z,0.71774869421529,0.5681356158689639,0.2467875657825661,0.71774869421529,0.5681356158689639,0.2467875657825659,1.0241573028956765,0.8444498776290275,0.11227944990346972,1.0241573028956765,0.8444498776290275,0.11227944990346972
11,101,110,10,-7.143574465648378,0.0670870016752567,-10.692013505679894,0.0985833552237959,-7.143574465648378,0.0670870016752567,-10.692013505679888,0.0985833552237959,0.05,3000,z,0.7133104597008908,0.5333672495853836,0.06801175230022682,0.7133104597008908,0.5333672495853836,0.06801175230022682,1.090140442425353,0.9099979868549685,0.06320354992757382,1.090140442425353,0.9099979868549685,0.06320354992757382
12,111,120,10,1.8886469761323088,-0.0169585310374554,-4.358618685013093,0.0372051255832686,1.8886469761323077,-0.0169585310374553,-4.358618685013093,0.0372051255832686,0.05,3000,z,1.083456558428993,0.8559635465289961,0.002017114251444796,1.083456558428993,0.8559635465289981,0.002017114251444796,0.6398993655295725,0.5015856565892037,0.027132501384677377,0.6398993655295725,0.5015856565892037,0.027132501384677377
13,121,130,10,23.66823368817168,-0.1881145379706468,21.138564048018804,-0.1730263666785428,23.668233688171693,-0.1881145379706469,21.13856404801881,-0.1730263666785428,0.05,3000,z,1.0754754557548913,0.8738850719502945,0.20153613617672006,1.0754754557548916,0.8738850719502939,0.20153613617671962,0.6930445067933948,0.48665822903880507,0.3395977572467075,0.6930445067933948,0.4866582290388036,0.3395977572467075
14,131,140,10,-2.245972095800468,0.0143229494802864,-10.936895454754008,0.0799538908490124,-2.245972095800469,0.0143229494802864,-10.936895454754016,0.0799538908490124,0.05,3000,z,0.8392373399794575,0.7384361652804184,0.002397214658287239,0.8392373399794576,0.7384361652804183,0.002397214658287128,0.8658380415324546,0.7868802983341678,0.0657255600981379,0.8658380415324545,0.7868802983341693,0.06572556009813801
