interval_id,start_work_period,end_work_period,n_periods,scratch_mean_theta0,scratch_mean_theta1,scratch_peak_theta0,scratch_peak_theta1,sklearn_mean_theta0,sklearn_mean_theta1,sklearn_peak_theta0,sklearn_peak_theta1,learning_rate,iterations,target_space
2,11,20,10,-0.890498721649014,0.1001099753127459,-0.9759858298022148,0.07541971288249526,-0.8904987216490137,0.1001099753127459,-0.9759858298022149,0.07541971288249527,0.05,3000,z
4,31,40,10,3.687288931011386,-0.0925674680478208,5.146264037640345,-0.12838009544958717,3.6872889310113863,-0.0925674680478208,5.146264037640347,-0.12838009544958723,0.05,3000,z
6,51,60,10,-7.934994446486535,0.1495757473109348,-6.466034054603781,0.12469255938618883,-7.934994446486534,0.14957574731093476,-6.466034054603777,0.12469255938618877,0.05,3000,z
7,61,70,10,-1.3813299353485593,0.026112690975986827,-3.1099097522762116,0.051935985191575065,-1.3813299353485602,0.026112690975986844,-3.109909752276212,0.05193598519157508,0.05,3000,z
8,71,80,10,8.836953711200684,-0.11801500164279469,15.30759180523994,-0.1969190481360261,8.836953711200685,-0.11801500164279471,15.307591805239943,-0.19691904813602612,0.05,3000,z
9,81,90,10,-2.4864875037209453,0.025942702735769728,-0.5443406399808646,0.0033490296528005743,-2.4864875037209457,0.02594270273576973,-0.5443406399808634,0.0033490296528005574,0.05,3000,z
10,91,100,10,-13.403612631638968,0.1430369804639562,-11.904076281756375,0.1268094716794047,-13.403612631638971,0.14303698046395621,-11.904076281756375,0.1268094716794047,0.05,3000,z
11,101,110,10,-7.143574465648378,0.06708700167525677,-10.692013505679894,0.09858335522379597,-7.143574465648378,0.06708700167525677,-10.692013505679888,0.09858335522379592,0.05,3000,z
12,111,120,10,1.8886469761323088,-0.016958531037455402,-4.358618685013093,0.03720512558326862,1.8886469761323073,-0.016958531037455392,-4.358618685013093,0.03720512558326862,0.05,3000,z
13,121,130,10,23.668233688171682,-0.18811453797064684,21.138564048018804,-0.17302636667854282,23.668233688171693,-0.18811453797064692,21.13856404801881,-0.17302636667854288,0.05,3000,z
14,131,140,10,-2.245972095800468,0.014322949480286472,-10.936895454754008,0.0799538908490124,-2.245972095800469,0.014322949480286475,-10.936895454754016,0.07995389084901244,0.05,3000,z
15,141,150,10,-47.35978356261183,0.3169376303657485,-22.491127896297165,0.14971833179821833,-47.35978356261184,0.31693763036574857,-22.491127896297176,0.1497183317982184,0.05,3000,z
16,151,160,10,16.045124408907178,-0.10188824908193121,-3.6851080274702888,0.025623105601842118,16.045124408907178,-0.10188824908193123,-3.6851080274702874,0.02562310560184211,0.05,3000,z
17,161,170,10,6.340159227132589,-0.036170991458139415,6.276043630962949,-0.03664770365677038,6.34015922713259,-0.036170991458139415,6.276043630962951,-0.03664770365677039,0.05,3000,z
18,171,180,10,-12.83387777481755,0.07104514394996701,-15.66581678367824,0.08654134302186361,-12.833877774817548,0.071045143949967,-15.665816783678242,0.08654134302186363,0.05,3000,z
